Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Eastern spot-billed duck,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Anas,Anas zonorhyncha,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Wetlands ', 'Coastal'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Green-billed toucan,Animalia,Chordata,,Aves,Piciformes,,Ramphastidae,Ramphastos,Ramphastos dicolorus,,,,,,,"Terrestrial,Partial Migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Argentina, Brazil, Paraguay', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Partial Migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Eastern cattle egret,Animalia,Chordata,,Aves,Pelecaniformes,,Ardeidae,Bubulcus,Bubulcus coromandus,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},{}
Pacific baza,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Aviceda,Aviceda subcristata,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Australia, Papua New Guinea, Solomon Islands, Indonesia, Timor-Leste', 'Biogeographical realms': 'Australasian, Indomalayan'}, 'Biome': ['Freshwater', 'Forest', 'Savanna', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Cape wagtail,Animalia,Chordata,,Aves,Passeriformes,,Motacillidae,Motacilla,Motacilla capensis,,,,,,,"Terrestrial,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'South Africa, Angola,  Botswana, Burundi, DR Congo, Kenya, Lesotho, Mozambique, Namibia, Rwanda,', 'Regions': 'Tanzania, Uganda, Zambia, Zimbabwe', 'Biogeographical realms': 'Eswatini'}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Grassland', 'Intertidal zone', 'Wetlands ', 'Coastal', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": ''}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Slaty-backed gull,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Larus,Larus schistisagus,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': 'North America, Asia', 'Countries': 'China, Japan, North Korea, South Korea, Taiwan, Canada, United States,  Russia', 'Biogeographical realms': 'Palearctic, Nearctic'}, 'Biome': ['Intertidal zone', 'Neritic zone', 'Rocky areas ', 'Coastal', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Dusky Canada goose,Canada Goose,,,Animalia,Chordata,,Aves,Anseriformes,Anatidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Chestnut-headed bee-eater,Animalia,Chordata,,Aves,Coraciiformes,,Meropidae,Merops,Merops leschenaulti,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Blue-winged parrot,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Neophema,Neophema chrysostoma,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Eastern buzzard,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Buteo,Buteo japonicus,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,   Migrating'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Audouin's gull,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Larus,Ichthyaetus audouini,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Intertidal zone', 'Neritic zone', 'Oceanic pelagic zone', 'Rocky areas ', 'Coastal', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Red-throated pipit,Animalia,Chordata,,Aves,Passeriformes,,Motacillidae,Anthus,Anthus cervinus,,,,,,14.5-15 cm,"Diurnal,Carnivore,Insectivores,Terrestrial,Territorial,Monogamy,Migrating,starts with","{'Geography': {'Continents': 'North America, Europe, Asia, Africa', 'Countries': 'China, Hong Kong,  Japan, North Korea, South Korea, Mongolia, Taiwan, Spain, Portugal, France,', 'Biogeographical realms': ""Finland, Austria, Bulgaria, Denmark, Germany, Greece, Italy, Latvia, Malta, Montenegro, Norway, Poland, Romania, Serbia, Slovakia, Sweden, Mexico, Algeria, Egypt, Libya, Morocco, Tunisia, Canada, United States, Belarus, Russia,  Ukraine, India, Bangladesh, Bhutan, Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Nepal, Philippines, Singapore, Thailand, Viet Nam, Seychelles, Benin, Burkina Faso, Burundi, Cameroon, Chad, DR Congo, Cote d'Ivoire, Djibouti, Eritrea, Ethiopia,  Gambia, Ghana, Kenya, Liberia, Mali, Mauritania, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Sudan, Sudan, Tanzania, Togo, Uganda, Zambia, Yemen, Afghanistan, Azerbaijan, Bahrain, Cyprus, Iran, Iraq, Israel, Jordan, Kazakhstan, Kuwait, Lebanon, Oman, Pakistan, Qatar, Saudi Arabia, Syria, Tajikistan,  Turkey, Turkmenistan, United Arab Emirates, Uzbekistan, Czech Republic"", 'Wwf biomes': 'Nearctic, Palearctic, Indomalayan, Afrotropical'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Bog', 'Wetlands ', 'Marsh', 'Grassland', 'Freshwater', 'Intertidal zone', 'Shrubland', 'Marine'], 'Climate': ['Temperate', 'Tropical']}","{'Lifestyle': 'Terrestrial, Territorial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}","Carnivore,,Insectivores",{'Mating behavior': 'Monogamy'},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Chestnut-bellied sandgrouse,Animalia,Chordata,,Aves,Pterocliformes,,Pteroclidae,Pterocles,Pterocles exustus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Grassland', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Mourning collared dove,Animalia,Chordata,,Aves,Columbiformes,,Columbidae,Streptopelia,Streptopelia decipiens,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Jamaican crow,Animalia,Chordata,,Aves,Passeriformes,,Corvidae,Corvus,Corvus jamaicensis,,,,,,,"Terrestrial,Partial Migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Jamaica', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Increasing', 'Population status': 'Near Threatened (NT)'}"
Squirrel cuckoo,Animalia,Chordata,,Aves,Cuculiformes,,Cuculidae,Piaya,Piaya cayana,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'South America, North America', 'Countries': 'Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Ecuador, Argentina,', 'Regions': 'Bolivia, Brazil, Colombia,  Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela', 'Biogeographical realms': 'French Guiana'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Northern carmine bee-eater,Animalia,Chordata,,Aves,Coraciiformes,,Meropidae,Merops,Merops nubicus,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
White-headed pigeon,Animalia,Chordata,,Aves,Columbiformes,,Columbidae,Columba,Columba leucomela,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Pennant-winged nightjar,Animalia,Chordata,,Aves,Caprimulgiformes,,Caprimulgidae,Caprimulgus,Caprimulgus vexillarius,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Comb duck,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Sarkidiornis,Sarkidiornis sylvicola,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': 'South America, North America', 'Countries': 'Panama, Ecuador, Argentina, Bolivia, Brazil, Colombia, Guyana, Paraguay, Peru, Uruguay,', 'Regions': 'Venezuela', 'Biogeographical realms': 'French Guiana'}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Grassland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,  Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Mistletoebird,Animalia,Chordata,,Aves,Passeriformes,,Dicaeidae,Dicaeum,Dicaeum hirundinaceum,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Cream-colored courser,Animalia,Chordata,,Aves,Charadriiformes,,Glareolidae,Cursorius,Cursorius cursor,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': 'Europe, Africa, Asia', 'Countries': 'Spain, Greece, Hungary, Ireland, Malta, Algeria, Egypt, Libya, Morocco, Tunisia,', 'Biogeographical realms': 'Western Sahara, India,   Burkina Faso, Chad, Mali, Mauritania, Niger, Senegal, Sudan, Yemen, Afghanistan, Bahrain, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Pakistan, Palestine, Qatar, Saudi Arabia, Syria, Turkey, Turkmenistan, United Arab Emirates, Uzbekistan, Cape Verde'}, 'Biome': ['Grassland', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Chinese pond heron,Animalia,Chordata,,Aves,Pelecaniformes,,Ardeidae,Ardeola,Ardeola bacchus,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'China, Japan, North Korea, South Korea, Taiwan, Russia, India, Brunei, Cambodia, Indonesia,', 'Biogeographical realms': 'Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Viet Nam'}, 'Biome': ['Freshwater', 'Forest', 'Grassland', 'Intertidal zone', 'Wetlands ', 'Anthropogenic biome', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Orinoco goose,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Neochen,Neochen jubata,,,,,,,"Terrestrial,Congregatory,Social,Not a migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Ecuador, Bolivia, Brazil, Colombia, Guyana, Peru, Venezuela', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Freshwater', 'Forest', 'Savanna', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Grey treepie,Animalia,Chordata,,Aves,Passeriformes,,Corvidae,Dendrocitta,Dendrocitta formosae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Zigzag heron,Animalia,Chordata,,Aves,Pelecaniformes,,Ardeidae,Zebrilus,Zebrilus undulatus,,,,,,,"Terrestrial,Congregatory,Social,Not a migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Ecuador, Bolivia, Brazil, Colombia, Guyana, Peru, Suriname, Venezuela', 'Regions': 'French Guiana', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Audubon's warbler,Yellow-rumped warbler,,,Animalia,Chordata,,Aves,Passeriformes,Parulidae,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Pallas's gull,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Larus,Ichthyaetus ichthyaetus,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Intertidal zone', 'Neritic zone', 'Shrubland', 'Wetlands ', 'Coastal', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Bare-throated bellbird,Animalia,Chordata,,Aves,Passeriformes,,Cotingidae,Procnias,Procnias nudicollis,,,,,,,"Terrestrial,Partial Migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Argentina, Brazil, Paraguay', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Partial Migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Japanese cormorant,Animalia,Chordata,,Aves,Suliformes,,Phalacrocoracidae,Phalacrocorax,Phalacrocorax capillatus,,,,,,,"Terrestrial,Congregatory,Oviparous,Social,Migrating,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'China, Japan, North Korea, South Korea, Taiwan, Russia', 'Biogeographical realms': 'Palearctic'}, 'Biome': ['Intertidal zone', 'Neritic zone', 'Coastal', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory, Oviparous', 'Seasonal behavior': 'Migrating'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Australian golden whistler,Animalia,Chordata,,Aves,Passeriformes,,Pachycephalidae,Pachycephala,Pachycephala pectoralis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Tamaulipas crow,Animalia,Chordata,,Aves,Passeriformes,,Corvidae,Corvus,Corvus imparatus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Mexico, United States', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Cape white-eye,Animalia,Chordata,,Aves,Passeriformes,,Zosteropidae,Zosterops,Zosterops virens,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Savanna', 'Shrubland', 'Wetlands ', 'Coastal'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Buff-bellied hummingbird,Animalia,Chordata,,Aves,Apodiformes,,Trochilidae,Amazilia,Amazilia yucatanensis,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Belize, Guatemala, Honduras, Mexico, United States', 'Biogeographical realms': 'Neotropical, Nearctic'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Vogelkop bowerbird,Animalia,Chordata,,Aves,Passeriformes,,Ptilonorhynchidae,Amblyornis,Amblyornis inornata,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,  Not a migrant', 'Seasonal behavior': 'Your browser does not support the audio element.', ""Bird's call"": ''}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Cut-throat finch,Animalia,Chordata,,Aves,Passeriformes,,Estrildidae,Amadina,Amadina fasciata,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Grassland', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Temminck's stint,Animalia,Chordata,,Aves,Charadriiformes,,Scolopacidae,Calidris,Calidris temminckii,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': 'Europe, Asia, Africa', 'Countries': 'China, Hong Kong, Japan, North Korea, South Korea, Mongolia, Taiwan, Spain, Portugal,  France,', 'Biogeographical realms': ""Finland, United Kingdom, Albania, Austria, Belgium, Bulgaria, Denmark, Estonia, Germany, Greece, Hungary, Italy, Latvia, Malta, Netherlands, Norway, Poland, Romania, Slovakia, Sweden, Switzerland, Algeria, Egypt, Libya, Morocco, Tunisia, Belarus, Russia, Ukraine, India, Bangladesh, Bhutan, Brunei,  Cambodia, Indonesia, Laos, Malaysia, Maldives, Myanmar, Nepal, Philippines, Singapore, Sri Lanka, Thailand, Viet Nam,  South Africa, Burundi, Cameroon, Central African Republic, Chad, DR Congo, Cote d'Ivoire, Djibouti, Eritrea, Ethiopia, Gambia, Ghana, Guinea, Kenya, Liberia, Mali, Mauritania, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia,  South Sudan, Sudan, Tanzania, Togo, Uganda, Yemen, Afghanistan, Azerbaijan, Bahrain, Cyprus, Georgia, Iran, Iraq, Israel, Jordan, Kazakhstan, Kuwait, Kyrgyzstan, Lebanon, Oman, Pakistan, Palestine, Qatar, Saudi Arabia, Syria, Tajikistan,  Turkey, Turkmenistan, United Arab Emirates, Uzbekistan, Czech Republic, Macedonia"", 'Wwf biomes': 'Indomalayan, Palearctic, Afrotropical'}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Grassland', 'Intertidal zone', 'Neritic zone', 'Wetlands ', 'Marine'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Yellow-crowned parakeet,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Cyanoramphus,Cyanoramphus auriceps,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Tundra bean goose,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Anser,Anser serrirostris,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': '', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},{}
Chinese blackbird,Animalia,Chordata,,Aves,Passeriformes,,Turdidae,Turdus,Turdus mandarinus,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Mangrove cuckoo,Animalia,Chordata,,Aves,Cuculiformes,,Cuculidae,Coccyzus,Coccyzus minor,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': 'North America, South America', 'Countries': 'Antigua and Barbuda, Bahamas, Barbados, Cuba, Dominica, Dominican Republic, Grenada, Guadeloupe, Jamaica,  Saint Kitts and Nevis,', 'Regions': 'Saint Lucia, Saint Vincent and the Grenadines, Trinidad and Tobago, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States, Brazil, Guyana, Suriname, Venezuela', 'Islands': 'Anguilla, Bonaire, Sint Eustatius and Saba, Cayman Islands, Haiti, Martinique, Montserrat, Puerto Rico, Saint Martin, Turks and Caicos Islands, British Virgin Islands,', 'Biogeographical realms': 'U.S. Virgin Islands, French Guiana, Sint Maarten', 'Wwf biomes': 'Caribbean Islands'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating', ""Bird's call"": 'Your browser does not support the audio element.'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Western ground parrot,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Pezoporus,Pezoporus flaviventris,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Black-crested bulbul,Animalia,Chordata,,Aves,Passeriformes,,Pycnonotidae,Rubigula,Rubigula flaviventris,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
White-eyed river martin,Animalia,Chordata,,Aves,Passeriformes,,Hirundinidae,Eurochelidon,Pseudochelidon sirintarae,,,,,,,"Nocturnal,Crepuscular,Terrestrial,Migrating,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Thailand', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Mindanao bleeding-heart,Animalia,Chordata,,Aves,Columbiformes,,Columbidae,Gallicolumba,Gallicolumba crinigera,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
